"Date","Price","Open","High","Low","Change %"
"Oct 18, 2017","1.3204","1.3191","1.3211","1.3140","0.10"
"Oct 17, 2017","1.3191","1.3250","1.3289","1.3154","-0.45"
"Oct 16, 2017","1.3250","1.3309","1.3313","1.3225","-0.28"
"Oct 13, 2017","1.3287","1.3262","1.3338","1.3249","0.19"
"Oct 12, 2017","1.3262","1.3224","1.3292","1.3121","0.29"
"Oct 11, 2017","1.3223","1.3205","1.3236","1.3175","0.14"
"Oct 10, 2017","1.3204","1.3141","1.3227","1.3131","0.47"
"Oct 09, 2017","1.3142","1.3069","1.3185","1.3056","0.58"
"Oct 06, 2017","1.3066","1.3119","1.3127","1.3027","-0.40"
"Oct 05, 2017","1.3119","1.3247","1.3251","1.3107","-0.95"
"Oct 04, 2017","1.3245","1.3236","1.3293","1.3235","0.07"
"Oct 03, 2017","1.3236","1.3276","1.3289","1.3222","-0.31"
"Oct 02, 2017","1.3277","1.3389","1.3404","1.3255","-0.90"
"Sep 29, 2017","1.3397","1.3441","1.3446","1.3349","-0.33"
"Sep 28, 2017","1.3442","1.3386","1.3458","1.3343","0.41"
"Sep 27, 2017","1.3387","1.3459","1.3464","1.3364","-0.53"
"Sep 26, 2017","1.3458","1.3467","1.3517","1.3410","-0.07"
"Sep 25, 2017","1.3467","1.3493","1.3572","1.3431","-0.19"
"Sep 22, 2017","1.3493","1.3581","1.3597","1.3450","-0.63"
"Sep 21, 2017","1.3579","1.3493","1.3587","1.3470","0.63"
"Sep 20, 2017","1.3494","1.3510","1.3658","1.3452","-0.11"
"Sep 19, 2017","1.3509","1.3495","1.3553","1.3469","0.11"
"Sep 18, 2017","1.3494","1.3576","1.3620","1.3465","-0.73"
"Sep 15, 2017","1.3593","1.3398","1.3617","1.3381","1.46"
"Sep 14, 2017","1.3397","1.3211","1.3407","1.3162","1.41"
"Sep 13, 2017","1.3211","1.3284","1.3330","1.3185","-0.55"
"Sep 12, 2017","1.3284","1.3163","1.3300","1.3160","0.92"
"Sep 11, 2017","1.3163","1.3203","1.3223","1.3159","-0.27"
"Sep 08, 2017","1.3198","1.3100","1.3225","1.3093","0.74"
"Sep 07, 2017","1.3101","1.3043","1.3117","1.3032","0.44"
"Sep 06, 2017","1.3043","1.3032","1.3084","1.3018","0.08"
"Sep 05, 2017","1.3033","1.2927","1.3044","1.2909","0.78"
"Sep 04, 2017","1.2932","1.2958","1.2967","1.2911","-0.15"
"Sep 01, 2017","1.2951","1.2931","1.2996","1.2904","0.15"
"Aug 31, 2017","1.2931","1.2928","1.2935","1.2851","0.04"
"Aug 30, 2017","1.2926","1.2918","1.2939","1.2877","0.05"
"Aug 29, 2017","1.2920","1.2931","1.2979","1.2914","-0.10"
"Aug 28, 2017","1.2933","1.2902","1.2948","1.2873","0.36"
"Aug 25, 2017","1.2887","1.2799","1.2891","1.2793","0.68"
"Aug 24, 2017","1.2800","1.2796","1.2837","1.2771","0.00"
"Aug 23, 2017","1.2800","1.2824","1.2835","1.2779","-0.19"
"Aug 22, 2017","1.2824","1.2897","1.2910","1.2809","-0.60"
"Aug 21, 2017","1.2901","1.2870","1.2918","1.2849","0.19"
"Aug 18, 2017","1.2876","1.2869","1.2920","1.2834","0.05"
"Aug 17, 2017","1.2869","1.2894","1.2914","1.2855","-0.16"
"Aug 16, 2017","1.2890","1.2870","1.2905","1.2842","0.16"
"Aug 15, 2017","1.2870","1.2964","1.2971","1.2845","-0.73"
"Aug 14, 2017","1.2965","1.2992","1.3024","1.2955","-0.36"
"Aug 11, 2017","1.3012","1.2975","1.3031","1.2937","0.29"
"Aug 10, 2017","1.2975","1.2999","1.3017","1.2950","-0.23"
"Aug 09, 2017","1.3005","1.2988","1.3029","1.2965","0.11"
"Aug 08, 2017","1.2991","1.3033","1.3055","1.2950","-0.34"
"Aug 07, 2017","1.3035","1.3025","1.3063","1.3011","-0.01"
"Aug 04, 2017","1.3036","1.3134","1.3166","1.3021","-0.78"
"Aug 03, 2017","1.3139","1.3219","1.3266","1.3110","-0.64"
"Aug 02, 2017","1.3223","1.3201","1.3252","1.3187","0.15"
"Aug 01, 2017","1.3203","1.3212","1.3249","1.3188","-0.08"
"Jul 31, 2017","1.3214","1.3129","1.3225","1.3094","0.60"
"Jul 28, 2017","1.3135","1.3063","1.3155","1.3056","0.52"
"Jul 27, 2017","1.3067","1.3119","1.3157","1.3051","-0.41"
"Jul 26, 2017","1.3121","1.3019","1.3125","1.2999","0.73"
"Jul 25, 2017","1.3026","1.3027","1.3086","1.3004","-0.02"
"Jul 24, 2017","1.3029","1.2983","1.3058","1.2983","0.26"
"Jul 21, 2017","1.2995","1.2972","1.3023","1.2951","0.16"
"Jul 20, 2017","1.2974","1.3020","1.3038","1.2930","-0.34"
"Jul 19, 2017","1.3018","1.3036","1.3053","1.3008","-0.17"
"Jul 18, 2017","1.3040","1.3055","1.3127","1.3002","-0.11"
"Jul 17, 2017","1.3055","1.3099","1.3113","1.3044","-0.31"
"Jul 14, 2017","1.3096","1.2934","1.3115","1.2931","1.21"
"Jul 13, 2017","1.2939","1.2882","1.2958","1.2875","0.42"
"Jul 12, 2017","1.2885","1.2845","1.2908","1.2808","0.28"
"Jul 11, 2017","1.2849","1.2880","1.2932","1.2828","-0.23"
"Jul 10, 2017","1.2879","1.2882","1.2912","1.2853","-0.10"
"Jul 07, 2017","1.2892","1.2966","1.2977","1.2864","-0.61"
"Jul 06, 2017","1.2971","1.2934","1.2984","1.2917","0.28"
"Jul 05, 2017","1.2935","1.2916","1.2950","1.2890","0.12"
"Jul 04, 2017","1.2920","1.2936","1.2962","1.2909","-0.13"
"Jul 03, 2017","1.2937","1.3010","1.3024","1.2929","-0.69"
"Jun 30, 2017","1.3027","1.3003","1.3032","1.2946","0.16"
"Jun 29, 2017","1.3006","1.2921","1.3013","1.2917","0.62"
"Jun 28, 2017","1.2926","1.2815","1.2974","1.2790","0.86"
"Jun 27, 2017","1.2816","1.2721","1.2860","1.2714","0.75"
"Jun 26, 2017","1.2721","1.2728","1.2760","1.2703","0.02"
"Jun 23, 2017","1.2718","1.2679","1.2745","1.2671","0.28"
"Jun 22, 2017","1.2682","1.2669","1.2692","1.2651","0.09"
"Jun 21, 2017","1.2671","1.2627","1.2712","1.2587","0.32"
"Jun 20, 2017","1.2631","1.2731","1.2758","1.2601","-0.82"
"Jun 19, 2017","1.2736","1.2783","1.2817","1.2720","-0.31"
"Jun 16, 2017","1.2776","1.2752","1.2806","1.2746","0.16"
"Jun 15, 2017","1.2755","1.2749","1.2796","1.2688","0.02"
"Jun 14, 2017","1.2752","1.2754","1.2818","1.2721","-0.01"
"Jun 13, 2017","1.2753","1.2657","1.2759","1.2639","0.77"
"Jun 12, 2017","1.2656","1.2729","1.2771","1.2636","-0.70"
"Jun 09, 2017","1.2745","1.2953","1.2964","1.2632","-1.61"
"Jun 08, 2017","1.2953","1.2959","1.2979","1.2905","-0.06"
"Jun 07, 2017","1.2961","1.2910","1.2969","1.2885","0.39"
"Jun 06, 2017","1.2911","1.2901","1.2953","1.2870","0.06"
"Jun 05, 2017","1.2903","1.2848","1.2942","1.2845","0.12"
"Jun 02, 2017","1.2887","1.2877","1.2908","1.2844","0.05"
"Jun 01, 2017","1.2881","1.2887","1.2916","1.2828","-0.07"
"May 31, 2017","1.2890","1.2857","1.2921","1.2767","0.25"
"May 30, 2017","1.2858","1.2836","1.2890","1.2791","0.13"
"May 29, 2017","1.2841","1.2804","1.2853","1.2788","0.29"
"May 26, 2017","1.2804","1.2941","1.2949","1.2772","-1.05"
"May 25, 2017","1.2940","1.2968","1.3013","1.2928","-0.26"
"May 24, 2017","1.2974","1.2960","1.3000","1.2924","0.09"
"May 23, 2017","1.2962","1.2997","1.3036","1.2950","-0.29"
"May 22, 2017","1.3000","1.3005","1.3044","1.2963","-0.27"
"May 19, 2017","1.3035","1.2935","1.3040","1.2925","0.74"
"May 18, 2017","1.2939","1.2965","1.3051","1.2889","-0.26"
"May 17, 2017","1.2973","1.2915","1.2994","1.2903","0.43"
"May 16, 2017","1.2917","1.2895","1.2958","1.2864","0.19"
"May 15, 2017","1.2893","1.2887","1.2940","1.2872","0.02"
"May 12, 2017","1.2891","1.2885","1.2900","1.2842","0.04"
"May 11, 2017","1.2886","1.2937","1.2953","1.2847","-0.40"
"May 10, 2017","1.2938","1.2931","1.2989","1.2924","0.02"
"May 09, 2017","1.2935","1.2942","1.2961","1.2900","-0.04"
"May 08, 2017","1.2940","1.2979","1.2992","1.2927","-0.32"
"May 05, 2017","1.2981","1.2918","1.2985","1.2898","0.46"
"May 04, 2017","1.2921","1.2863","1.2931","1.2829","0.42"
"May 03, 2017","1.2867","1.2936","1.2953","1.2861","-0.55"
"May 02, 2017","1.2938","1.2884","1.2943","1.2861","0.40"
"May 01, 2017","1.2886","1.2950","1.2955","1.2878","-0.50"
"Apr 28, 2017","1.2951","1.2903","1.2970","1.2884","0.36"
"Apr 27, 2017","1.2904","1.2844","1.2916","1.2834","0.44"
"Apr 26, 2017","1.2847","1.2839","1.2864","1.2803","0.05"
"Apr 25, 2017","1.2841","1.2794","1.2846","1.2771","0.37"
"Apr 24, 2017","1.2794","1.2841","1.2871","1.2769","-0.15"
"Apr 21, 2017","1.2813","1.2812","1.2835","1.2758","0.00"
"Apr 20, 2017","1.2813","1.2777","1.2851","1.2770","0.27"
"Apr 19, 2017","1.2779","1.2837","1.2862","1.2766","-0.48"
"Apr 18, 2017","1.2841","1.2564","1.2909","1.2513","2.20"
"Apr 17, 2017","1.2565","1.2528","1.2599","1.2522","0.33"
"Apr 14, 2017","1.2524","1.2501","1.2537","1.2498","0.14"
"Apr 13, 2017","1.2506","1.2536","1.2575","1.2496","-0.27"
"Apr 12, 2017","1.2540","1.2489","1.2550","1.2477","0.39"
"Apr 11, 2017","1.2491","1.2409","1.2497","1.2401","0.62"
"Apr 10, 2017","1.2414","1.2379","1.2432","1.2362","0.33"
"Apr 07, 2017","1.2373","1.2466","1.2478","1.2361","-0.78"
"Apr 06, 2017","1.2470","1.2482","1.2508","1.2448","-0.10"
"Apr 05, 2017","1.2483","1.2437","1.2501","1.2420","0.34"
"Apr 04, 2017","1.2441","1.2486","1.2496","1.2417","-0.37"
"Apr 03, 2017","1.2487","1.2539","1.2556","1.2463","-0.50"
"Mar 31, 2017","1.2550","1.2467","1.2562","1.2431","0.65"
"Mar 30, 2017","1.2469","1.2429","1.2529","1.2401","0.28"
"Mar 29, 2017","1.2434","1.2445","1.2476","1.2375","-0.13"
"Mar 28, 2017","1.2450","1.2557","1.2598","1.2437","-0.84"
"Mar 27, 2017","1.2556","1.2483","1.2618","1.2473","0.69"
"Mar 24, 2017","1.2470","1.2519","1.2524","1.2466","-0.41"
"Mar 23, 2017","1.2521","1.2482","1.2532","1.2459","0.30"
"Mar 22, 2017","1.2484","1.2475","1.2507","1.2421","0.04"
"Mar 21, 2017","1.2479","1.2356","1.2496","1.2338","0.98"
"Mar 20, 2017","1.2358","1.2398","1.2437","1.2333","-0.29"
